,UserID,Name,Tweet,Mentions,Created At,Retweet,Likes,Location
558,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,"@NyksChatra: NYK #Chatra #Jharkhand -
75th Independence day celebration by youth volunteers in different blocks of the district.
#HarGha…","['Nehru Yuva Kendra Chatra (MOYAS,Govt. Of India)']",2022-08-19 14:53:33+00:00,1,0,Jalandhar
559,Lalitapandit8,Lalita pandit,"@Yveerangnayen: On the occasion of Independence Day, a tree plantation drive was organized by #YouthVeerangnayen of Umri (Haryana)!
#Har…",['Youth Veerangnayen'],2022-08-19 14:53:26+00:00,1,0,"New Delhi, India"
560,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@nykalpy: #HarGharTiranga #IndependenceDay2022 #AzadiKaAmritMahotsav #NYKSINDIA @Nyksindia https://t.co/hMyvYrWKfV,"['NYK ALAPPUZHA', 'NYKS India']",2022-08-19 14:53:25+00:00,1,0,Jalandhar
561,nssBMSITM,NSS BMSITM,"@MinOfCultureGoI: #IndependenceDay celebrations are over! If you wish to remove the #Tiranga from your homes, here are some important th…",['Ministry of Culture'],2022-08-19 14:53:23+00:00,1,0,
562,AditiRa1502,Aditi Rana,"@Nyksindia: ""आइये मिलकर आजादी का महोत्सव का जशन मनाये
घर-घर तिरंगा लहराए देश के प्रति सम्मान जताए|""

#HarGharTiranga #Trending #Countdow…",['NYKS India'],2022-08-19 14:53:20+00:00,1,0,Una Himachal Pradesh
563,AditiRa1502,Aditi Rana,"@Nyksindia: नेहरू युवा केंद्र नलबाड़ी, असम के स्वयंसेवकों द्वारा हर घर तिरंगा अभियान के अंतर्गत 13 से 15 अगस्त के बीच अपने घरों में तिरं…",['NYKS India'],2022-08-19 14:53:14+00:00,1,0,Una Himachal Pradesh
564,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@nyksiwan: नेहरू युवा केंद्र सीवान के तत्वाधान में प्रखंड भगवानपुर हाट के स्वयंसेवक द्वारा #हर_घर_तिरंगा_अभियान_2022 के तहत लोगो को जाग…,"['Nehru Yuva Kendra, Siwan']",2022-08-19 14:53:12+00:00,1,0,Jalandhar
565,AcharyaAvinash_,Acharya Avinash #MHW Social Yogi,"@Cascadeglobal: Tiranga spotted at Ministry of Electronics &amp; Information Technology 🇮🇳

A moment of glory to witness each Indian proudly…",['FICCI CASCADE 🇮🇳'],2022-08-19 14:53:11+00:00,1,0,
566,Andhravilasnews,Andhravilas,"2 hybrid terrorists arrested in J&amp;K's Handwara https://t.co/nc3soHQ9PS #IndiaCovid #Breakingnews #Indiapolitics #AndhraPolitics #NewsFeed #HarGharTiranga #Telangana #YSJagan #stayhomestaysafe 

Srinagar, Aug 19 - Two hybrid terrorists were arrested by a joint security forces t…",[],2022-08-19 14:53:08+00:00,0,0,USA
567,Andhravilasnews,Andhravilas,"Art Alive Gallery joins hands with lifestyle club https://t.co/Dx3X2WJwox #memes #Breakingnews #Indiapolitics #AndhraPolitics #NewsFeed #HarGharTiranga #Telangana #coronaviruspandemic #CovidVaccine 

New Delhi, Aug 19 - The Art Alive Gallery has announced a partnership with Th…",[],2022-08-19 14:53:07+00:00,0,0,USA
568,AditiRa1502,Aditi Rana,"@Nyksindia: तिरंगा सिर्फ एक ध्वज नही, ये प्रत्येक भारतवासी के मन से जुड़ी भावना है, ये देश के साथ हमारी भी पहचान है। 

#HarGharTiranga #…",['NYKS India'],2022-08-19 14:53:06+00:00,1,0,Una Himachal Pradesh
569,sabirsaifi_1978,Sabir,"@IndianOilcl @Saqib_2002 ASHOK CHAKRA

#HarGharTiranga 
@IndianOilcl","['Indian Oil Corp Ltd', 'Saqib Saifi', 'Indian Oil Corp Ltd']",2022-08-19 14:53:06+00:00,0,0,Delhi/NCR
570,Roja971994,Roja,@nykalpy: #HarGharTiranga #IndependenceDay2022 #AzadiKaAmritMahotsav #NYKSINDIA @Nyksindia https://t.co/K5FgQgXvsx,"['NYK ALAPPUZHA', 'NYKS India']",2022-08-19 14:53:01+00:00,1,0,krishnagiri Tamil Nadu state
571,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@BijnorNyk: नेहरू युवा केन्द्र बिजनौर द्वारा हर घर तिरंगा अभियान के अंतर्गत हल्दौर ब्लॉक में राष्ट्रीय स्वयंसेवक नीरज द्वारा बाइक रैली…,['NYK BIJNOR'],2022-08-19 14:52:59+00:00,1,0,Jalandhar
572,Saqib_2002,Saqib Saifi,"@IndianOilcl ASHOK CHAKRA
#HarGharTiranga 
@IndianOilcl","['Indian Oil Corp Ltd', 'Indian Oil Corp Ltd']",2022-08-19 14:52:55+00:00,0,0,"New Delhi, India"
573,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,"@NSundargarh: YCDC closing programme,Organized by nyk sundargarh, 
Block- Sadar 
#NYKSINDIA 
#ycdc 
#nyksundargarh
#nyksodisha
#HarGharT…",['nyk sundargarh'],2022-08-19 14:52:53+00:00,1,0,Jalandhar
574,AditiRa1502,Aditi Rana,"@Nyksindia: निक्षय यूथ कल्ब श्री निवासपुरी , नेहरू युवा केन्द्र दक्षिण पूर्वी दिल्ली के युवा स्वयं सेवकों द्वारा घर तिरंगा कार्यक्रम को…",['NYKS India'],2022-08-19 14:52:52+00:00,1,0,Una Himachal Pradesh
575,AditiRa1502,Aditi Rana,@Nyksindia: नेहरू युवा केंद्र बिजनौर द्वारा राष्ट्रीय युवा स्वयंसेवकों एवम युवा मंडलों द्वारा विभिन्न विकास खंड मे हर घर तिरंगा अभियान…,['NYKS India'],2022-08-19 14:52:46+00:00,1,0,Una Himachal Pradesh
576,sabirsaifi_1978,Sabir,"@IndianOilcl @Saqib_2002 Pingali Venkayya
#HarGharTiranga  #MomentsWithTiranga #IndianOil #Contest #ContestAlert
@IndianOilcl","['Indian Oil Corp Ltd', 'Saqib Saifi', 'Indian Oil Corp Ltd']",2022-08-19 14:52:41+00:00,0,0,Delhi/NCR
